Capability,Status,Evidence,Package,RequiresUBTECH,RequiresCustomDevelopment,HardwareDependency,ProjectImpact,RecommendedNextStep
"A.Base móvil - control de velocidad","Confirmada y disponible","SDK PDF sección 6.2.6.1 cc.api.motion.cmd_vel; demo archive::pub_wheel_command_velocity.cpp:1-42","SDK","No","Sí","Base diferencial Cruzr S2","Permite telemando y aproximación básica; no demuestra navegación de misión","Validar watchdog, rampas y frame/signos en robot suspendido"
"A.Base móvil - navegación autónoma","Confirmada, pero requiere configuración","utars-udoke-config-v0.2.0_offline-001/vision/.metafiles/nav.metafile.yml:3-42; SDK PDF A000002 NavTo","uDoke + SDK","Sí","Sí","Lidar, cámaras, mapa y Orin","Necesaria para ir entre palés y cinta","Solicitar precisión certificada y ejecutar FAT de rutas"
"A.Base móvil - waypoints","Confirmada, pero requiere configuración","SDK PDF sección A000002 NavTo acepta targetId o pose; SOP Mapping on Web.docx","SDK","Sí","Sí","Mapa calibrado de planta","Permite destinos pallet/cinta/salida","Crear mapa y medir dispersión de llegada a cada estación"
"A.Base móvil - localización","Confirmada, pero requiere configuración","utars-udoke-config-v0.2.0_offline-001/vision/.metafiles/nav.metafile.yml:44-58; SDK PDF A000013 Relocation","uDoke + SDK","Sí","Sí","Lidar/cámaras y mapa","Una deriva excesiva rompe el alcance del agarre","Pedir error 95/99 percentil y prueba de relocalización"
"A.Base móvil - mapas","Confirmada y disponible","SDK PDF cc.api.map.list/delete/mapping.start/mapping.stop; utars-udoke-config-v0.2.0_offline-001/vision/.metafiles/nav.metafile.yml:60-90","SDK + uDoke","No","Sí","Entorno accesible para mapping","Base para navegación autónoma","Verificar flujo web y versionado/backup de mapas"
"A.Base móvil - evitación de obstáculos","Parcial","utars-udoke-config-v0.2.0_offline-001/vision/.metafiles/nav.metafile.yml:3-42 configura vnav_perception; drivers.metafile.yml:35-40 configura dos lidar","uDoke","Sí","Sí","Dos lidar y sensores del robot","Probable capacidad, pero no hay parámetros, límites ni evidencia de ensayo","Solicitar safety/performance manual y probar obstáculos estáticos/dinámicos"
"A.Base móvil - precisión de posicionamiento","Requiere soporte de UBTECH","SDK PDF describe NavTo de precisión pero no publica tolerancias ni repetibilidad","SDK","Sí","No","Marcadores/mapa/suelo","Bloquea el alineamiento frente a palé y cinta","Solicitar error XY/yaw y protocolo de aceptación con carga"
"A.Base móvil - docking o recarga","Confirmada, pero requiere configuración","utars-udoke-config-v0.2.0_offline-001/vision/.metafiles/nav.metafile.yml:15-30; system.metafile.yml:24-43","uDoke","Sí","Sí","Base de carga EVT4/Wi-Fi compatible","Permite operación prolongada; no forma parte del demo VLA","Pedir API, tolerancias, interlocks y hardware incluido"
"A.Base móvil - parada segura","Parcial","SDK PDF secciones 2.1-2.5 menciona E-stop físico y fallos de servo; no aparece integración E-stop en VLA executor","SDK + VLA","Sí","Sí","E-stop físico; seguridad industrial externa","El stop VLA no es función de seguridad","Definir arquitectura PL d/SIL, escáneres y validación independiente"
"B.Brazos - control articular","Confirmada y disponible","SDK PDF /mc/sdk/robot_command; VLA executor_node_sdk.py:210-248","SDK + VLA","No","Sí","Dos brazos 7-DoF","Suficiente para prototipos de trayectorias articulares","Validar modos, frecuencias y fallos antes de mover carga"
"B.Brazos - control cartesiano","No encontrada","El SDK sólo documenta FK/IK; no se encontró controlador cartesiano/servo","SDK","Sí","Sí","Modelo/calibración del robot","Complica pregrasp, inserción y compensación de pose","Pedir API cartesiana oficial o desarrollar controlador sobre IK"
"B.Brazos - cinemática directa","Confirmada y disponible","SDK PDF sección 5.11 CalcEndPose","SDK","No","Sí","Bibliotecas /opt/walker/manipulation en robot","Permite validar poses de herramienta","Probar coherencia URDF/calibración/TCP"
"B.Brazos - cinemática inversa","Confirmada y disponible","SDK PDF sección 5.11 CalcJointAnglesForEndPose","SDK","No","Sí","Bibliotecas propietarias en robot","Base de manipulación explícita","Caracterizar convergencia, singularidades y workspace"
"B.Brazos - planificación de trayectorias","Parcial","VLA executor_node_sdk.py:168-207,296-335 interpola en espacio articular; no se encontró MoveIt/OMPL/escena de planificación","VLA","Sí","Sí","URDF depurado y modelo de entorno","No existe prueba de trayectorias libres de colisión","Integrar planificador o pedir stack UBTECH y validar self-collision"
"B.Brazos - control simultáneo bimanual","Confirmada y disponible","Dataset actions de ambos brazos meta/info.json:91-105; VLA executor publica ambos","VLA + SDK","No","Sí","Configuración bimanual/efectores","Es la base del agarre de caja","Ensayar sincronía, reparto de carga y desalineamiento"
"B.Brazos - límites de posición","Parcial","SDK PDF tabla de joints; URDF interno contiene límites; VLA configura rangos de dataset en YAML:35-37,89-91","SDK + VLA","Sí","Sí","Versión mecánica exacta","Hay límites, pero el ejecutor no los valida contra límites de hardware","Añadir clamps por joint y confirmar límites homologados"
"B.Brazos - límites de velocidad","Parcial","SDK PDF tabla nominal/máxima; executor_node_sdk.py:88-95 usa límite global 6.28 rad/s","SDK + VLA","Sí","Sí","Controladores de joint","El límite VLA excede el máximo documentado de brazos (30 rpm ≈ 3.14 rad/s)","Corregir por joint y validar unidades/tiempo real"
"B.Brazos - límites de aceleración","No encontrada","URDF y ejecutor no aportan límites de aceleración; chunk pone aceleraciones a cero gr00t_inference.py:622-630","VLA + SDK","Sí","Sí","Datos del actuador","Riesgo de jerk, deslizamiento de caja y vuelco","Solicitar límites y añadir perfiles jerk-limited"
"B.Brazos - límites de esfuerzo","Parcial","SDK PDF tabla de torque y RobotCommand effort; VLA envía esfuerzo cero executor_node_sdk.py:227-235","SDK + VLA","Sí","Sí","Sensores/servos","No hay limitación de fuerza en el demo","Pedir semántica de effort/PVT y control de fuerza validado"
"B.Brazos - detección de colisión","No encontrada","No hay comprobación de colisión/self-collision en el runtime VLA; sólo velocidad executor_node_sdk.py:135-166","VLA","Sí","Sí","Modelo de colisión y sensores","Bloqueador de seguridad y daño al robot/celda","Exigir solución UBTECH o integrar planning scene + monitor independiente"
"B.Brazos - compliance/control de fuerza","Parcial","RobotState incluye ft_states en SDK PDF; dataset registra 12 FT meta/info.json:72-83, pero inferencia no las usa model_interface_general_ros2.py:187-246","SDK + VLA","Sí","Sí","Dos sensores F/T de muñeca","No permite agarre/volcado robusto ante contacto","Pedir controlador de impedancia/admitancia y calibración F/T"
"B.Brazos - payload máximo por brazo","Requiere soporte de UBTECH","SDK PDF sólo documenta 15 kg con ambos brazos","SDK","Sí","No","Efector, alcance y postura","Impide dimensionar caja y margen dinámico","Solicitar curvas de payload por brazo, postura, TCP y aceleración"
"B.Brazos - payload máximo con ambos brazos","Confirmada y disponible","SDK PDF especificación: doble brazo máximo 15 kg","SDK","Sí","No","Efector y centro de gravedad","Techo nominal; no equivale a carga útil industrial durante movimiento/volcado","Obtener curva dinámica y factor de seguridad certificado"
"C.Efector - apertura/cierre PGC","Confirmada y disponible","SDK PDF sección 5.10.2 topics /ecat/left_grip/cmd y /ecat/right_grip/cmd","SDK","No","Sí","PGC-140-50 realmente instalado","API lista para pruebas de pinza","Confirmar variante HW_TYPE y realizar homing seguro"
"C.Efector - control de fuerza PGC","Confirmada y disponible","SDK PDF GripCmd fuerza 0-100 N y apertura 0-0.05 m","SDK","Sí","Sí","Pinza PGC-140-50","Fuerza mandada; exactitud y regulación no documentadas","Solicitar tolerancia, curva y límites por material"
"C.Efector - sensores","Parcial","GripStatus expone posición, velocidad y corriente; RobotState expone F/T; no se documenta táctil en PGC","SDK","Sí","Sí","PGC + F/T","Permite inferencia indirecta, no contacto distribuido","Validar corriente/fuerza frente a dinamómetro"
"C.Efector - estados","Confirmada y disponible","SDK PDF GripStatus init_state, grip_state, error_code, homed, pos, vel, cur","SDK","No","Sí","PGC instalada","Permite supervisar movimiento, grip y caída","Mapear estados a máquina de misión y fallos"
"C.Efector - detección de agarre","Parcial","GripStatus define estado grip=2 y dropped=3; el VLA no lo consume","SDK + VLA","No","Sí","PGC instalada","Existe señal pero falta cerrar el bucle del caso de caja","Integrar GripStatus/F-T y reglas de reintento"
"C.Efector - objetos admitidos","Requiere soporte de UBTECH","SDK especifica 50 mm de carrera; no hay catálogo de geometrías/materiales admisibles","SDK","Sí","Sí","Dedos/adaptadores específicos","Una caja de 600 mm sin asas no cabe entre dedos PGC","Validar agarre por asas o diseñar placas/end-effector"
"C.Efector - sustitución/adaptación","Requiere soporte de UBTECH","Manual enumera clamp, mano v3/v4 y gripper; no hay interfaz mecánica/eléctrica completa","SDK","Sí","Sí","Brida, cableado y controlador","Probablemente necesario para caja sin asas","Pedir CAD, patrón, payload, alimentación y proceso de homologación"
"C.Efector - API de control","Confirmada y disponible","SDK PDF secciones 5.7, 5.9 y 5.10; demo archive contiene GripCmd/GripStatus y hand commands","SDK","No","Sí","Efector coincidente con HW_TYPE","Permite integrar efector fuera del VLA","Elegir efector y probar todas las transiciones/fallos"
"D.Visión - RGB","Confirmada y disponible","SDK PDF secciones 5.3/5.4; drivers.metafile.yml:15-33","SDK + uDoke","No","Sí","Cámaras instaladas","Entrada disponible para percepción/VLA","Medir latencia, FPS, exposición e iluminación de planta"
"D.Visión - profundidad","Confirmada y disponible","SDK PDF topics RGBD depth de chasis/cintura y stereo depth; drivers.metafile.yml:27-33","SDK + uDoke","No","Sí","Gemini 2L/estéreo","Útil para pose/volumen, aunque VLA suministrado no la usa","Validar rango, ruido y superficies de caja"
